"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"1-2002",35,3,4,3,4,1,1,12,2,5
"2-2002",20,5,3,3,1,2,2,2,1,1
"3-2002",21,9,0,2,1,1,2,2,2,2
"4-2002",28,6,7,5,1,2,1,3,3,0
"5-2002",33,9,6,6,1,3,1,2,3,2
"6-2002",55,11,11,14,2,6,2,4,0,5
"7-2002",55,6,8,14,2,6,4,6,4,5
"8-2002",41,13,3,4,2,1,4,5,2,7
"9-2002",33,10,0,7,0,4,5,2,2,3
"10-2002",26,3,3,4,1,1,9,1,2,2
"11-2002",22,2,2,3,2,3,1,4,3,2
"12-2002",22,4,4,1,1,3,3,2,3,1
"1-2003",23,7,1,5,1,0,5,0,2,2
"2-2003",20,4,2,0,0,2,5,4,2,1
"3-2003",38,8,3,5,4,3,9,1,1,4
"4-2003",34,2,5,10,2,3,6,4,0,2
"5-2003",27,3,4,4,4,1,6,0,2,3
"6-2003",14,2,0,5,0,0,0,2,3,2
"7-2003",12,3,1,1,0,1,1,2,2,1
"8-2003",23,1,6,4,1,0,0,1,8,2
"9-2003",15,3,3,3,1,1,1,1,2,0
"10-2003",14,1,2,6,0,0,3,1,1,0
"11-2003",13,1,2,0,2,1,0,1,4,2
"12-2003",17,2,3,5,0,0,0,1,4,2
"1-2004",12,1,3,2,1,0,1,1,0,3
"2-2004",23,3,2,3,1,3,2,3,2,4
"3-2004",19,2,4,5,0,2,2,1,2,1
"4-2004",17,0,5,0,2,0,4,0,3,3
"5-2004",19,0,2,6,0,2,1,3,2,3
"6-2004",18,2,4,5,1,0,2,0,1,3
"7-2004",24,0,4,6,2,3,2,3,1,3
"8-2004",21,2,5,4,0,0,1,2,2,5
"9-2004",16,2,3,3,1,0,1,0,3,3
"10-2004",27,1,6,4,1,1,1,5,3,5
"11-2004",26,2,5,3,3,2,5,3,2,1
"12-2004",15,0,0,1,2,2,2,3,3,2
"1-2005",16,3,5,1,0,0,1,2,3,1
"2-2005",14,2,3,1,0,1,1,2,3,1
"3-2005",18,1,2,5,0,0,2,2,2,4
"4-2005",14,2,2,2,1,3,2,1,1,0
"5-2005",21,2,3,1,0,3,3,3,4,2
"6-2005",17,1,9,0,2,2,1,0,1,1
"7-2005",10,2,0,0,0,1,0,3,3,1
"8-2005",19,0,6,3,0,3,2,3,2,0
"9-2005",26,0,1,10,1,1,3,4,4,2
"10-2005",18,1,1,4,2,2,3,2,1,2
"11-2005",25,0,7,5,0,3,1,5,2,2
"12-2005",27,4,2,6,0,3,7,1,2,2
"1-2006",20,2,1,8,0,0,2,5,1,1
"2-2006",9,1,0,5,0,0,0,1,1,1
"3-2006",17,2,2,7,1,0,1,2,2,0
"4-2006",19,0,3,6,0,0,5,1,1,3
"5-2006",21,1,0,11,1,2,1,4,0,1
"6-2006",24,3,5,9,2,1,0,1,2,1
"7-2006",19,0,1,10,0,1,2,3,1,1
"8-2006",15,1,3,4,1,0,3,1,2,0
"9-2006",14,1,3,2,0,2,3,1,1,1
"10-2006",17,0,3,3,0,2,3,5,1,0
"11-2006",18,1,1,1,1,1,6,3,3,1
"12-2006",10,0,0,0,0,1,0,5,2,2
"1-2007",11,0,2,2,0,0,3,2,1,1
"2-2007",9,1,0,0,0,1,1,3,2,1
"3-2007",12,1,3,1,0,1,1,1,3,1
"4-2007",9,1,1,0,0,0,1,1,5,0
"5-2007",14,1,2,3,0,2,2,2,1,1
"6-2007",8,0,3,0,1,0,0,1,1,2
"7-2007",11,1,2,1,0,0,1,3,1,2
"8-2007",21,0,1,4,0,2,4,4,2,4
"9-2007",11,0,0,1,4,1,0,1,4,0
"10-2007",7,1,1,1,0,0,1,2,1,0
"11-2007",12,0,0,0,2,0,2,1,5,2
"12-2007",17,1,4,0,1,2,2,1,4,2
"1-2008",15,0,1,4,5,0,3,1,0,1
"2-2008",10,0,1,2,1,1,1,0,3,1
"3-2008",15,0,2,2,3,2,1,1,1,3
"4-2008",22,2,5,1,0,2,6,1,0,5
"5-2008",13,1,1,2,3,3,1,1,0,1
"6-2008",23,1,3,1,1,1,4,4,2,6
"7-2008",13,0,2,0,2,2,2,3,2,0
"8-2008",17,0,2,2,2,2,3,2,2,2
"9-2008",28,1,3,3,2,4,3,6,3,3
"10-2008",53,9,10,6,3,3,4,6,1,11
"11-2008",42,6,6,3,1,5,8,7,1,5
"12-2008",36,2,7,2,1,3,7,7,1,6
"1-2009",24,2,3,1,2,1,6,3,1,5
"2-2009",24,4,5,1,2,0,4,4,1,3
"3-2009",14,1,4,0,1,2,1,3,1,1
"4-2009",19,3,0,1,2,0,3,5,1,4
"5-2009",12,1,4,0,0,1,0,3,2,1
"6-2009",19,1,1,2,2,4,2,2,3,2
"7-2009",17,0,4,1,4,3,0,2,1,2
"8-2009",12,1,2,1,0,0,2,1,0,5
"9-2009",19,1,5,2,3,0,3,0,3,2
"10-2009",20,2,1,6,3,0,4,1,0,3
"11-2009",16,0,4,0,2,2,4,1,2,1
"12-2009",23,0,3,2,2,3,4,2,2,5
"1-2010",15,2,1,3,1,0,2,2,1,3
"2-2010",15,1,2,0,2,1,2,3,0,4
"3-2010",13,0,0,1,0,0,2,3,1,6
"4-2010",17,2,2,1,2,0,4,3,1,2
"5-2010",24,2,0,0,6,1,7,3,2,3
"6-2010",23,0,6,2,5,0,1,2,2,5
"7-2010",13,1,2,0,2,0,1,3,2,2
"8-2010",9,1,1,2,1,1,1,0,0,2
"9-2010",15,0,4,1,1,2,1,5,0,1
"10-2010",22,0,4,0,3,0,4,3,3,5
"11-2010",21,0,5,3,4,2,2,0,4,1
"12-2010",17,0,3,0,4,1,2,1,3,3
"1-2011",11,0,1,0,1,1,1,1,2,4
"2-2011",19,0,2,0,4,5,2,3,1,2
"3-2011",33,1,8,2,10,3,1,3,0,5
"4-2011",20,1,6,0,6,1,0,1,4,1
"5-2011",20,0,2,4,3,0,3,1,2,5
"6-2011",42,2,3,3,7,8,9,3,3,4
"7-2011",54,1,10,5,18,1,2,2,6,9
"8-2011",67,3,9,14,17,3,3,6,4,8
"9-2011",50,1,12,5,15,2,1,1,2,11
"10-2011",47,2,7,3,12,1,6,2,1,13
"11-2011",54,3,4,1,17,8,4,5,6,6
"12-2011",53,2,9,5,12,1,10,4,3,7
"1-2012",33,0,5,0,9,1,6,6,2,4
