"newspaper","date","total_news","economy_news_count","epu_news_count","eu_news_count","pol_impositiva_count","pol_gasto_gub_count","pol_fiscal_count","pol_monetaria_count","pol_salud_count","pol_reg_financiera_count","pol_regulacion_count","pol_deuda_crisis_count","pol_prog_derechos_count","pol_comercial_count","otras_politicas_count","autoridades_intls_count"
"el_observador","04-2012","2442",330,18,20,5,2,4,7,1,2,1,7,13,7,15,6
"el_observador","05-2012","2436",333,31,31,4,3,7,14,2,4,3,18,24,6,26,8
"el_observador","06-2012","2511",363,49,50,10,10,13,23,0,14,4,30,37,8,42,10
"el_observador","07-2012","2647",356,32,32,3,1,9,21,0,4,4,18,23,5,27,7
"el_observador","08-2012","2636",358,21,23,1,2,5,13,0,5,1,13,10,3,17,5
"el_observador","09-2012","2543",334,25,27,3,1,5,14,1,2,0,7,15,1,19,3
"el_observador","10-2012","2687",312,26,28,3,2,1,12,0,2,0,12,20,2,23,3
"el_observador","11-2012","2504",387,29,30,7,3,5,9,0,2,0,10,19,5,27,4
"el_observador","12-2012","2397",369,25,28,8,1,3,8,1,1,2,8,17,5,18,5
"el_observador","01-2013","2450",360,33,37,11,8,11,9,0,2,0,19,25,3,30,9
"el_observador","02-2013","2416",279,15,15,7,3,5,8,2,4,1,6,12,2,14,2
"el_observador","03-2013","2653",400,17,19,8,3,6,8,0,1,0,8,12,0,15,3
"el_observador","04-2013","2653",341,12,13,1,2,3,4,0,2,0,7,7,2,9,3
"el_observador","05-2013","2532",330,19,19,4,6,7,11,0,3,1,11,12,5,12,1
"el_observador","06-2013","2531",367,13,14,1,0,1,11,0,2,0,10,11,0,11,2
"el_observador","07-2013","2671",319,17,21,0,3,6,7,1,2,1,8,12,1,15,0
"el_observador","08-2013","2674",306,12,12,3,1,1,7,1,0,2,6,8,3,9,1
"el_observador","09-2013","2654",211,13,14,1,0,1,10,0,2,1,10,7,2,12,5
"el_observador","10-2013","2811",287,20,20,5,4,2,12,2,3,0,11,13,0,17,3
"el_observador","11-2013","2610",372,15,21,6,1,3,5,0,0,4,6,10,4,13,2
"el_observador","12-2013","2553",354,16,20,1,0,1,9,0,3,0,4,11,1,14,2
"el_observador","01-2014","2256",201,18,19,4,1,4,12,0,0,3,12,12,1,17,4
"el_observador","02-2014","2254",202,9,9,0,0,1,6,0,0,0,5,7,2,9,1
"el_observador","03-2014","2584",198,17,19,6,3,6,11,0,1,0,10,15,2,16,1
"el_observador","04-2014","2391",315,14,14,4,1,6,12,0,0,0,7,9,0,12,3
"el_observador","05-2014","2335",362,11,13,0,0,0,3,0,0,0,4,5,2,7,3
"el_observador","06-2014","2584",343,13,13,2,2,4,7,1,1,2,6,9,1,10,3
"el_observador","07-2014","2497",353,13,14,2,0,1,6,1,0,3,3,7,1,10,0
"el_observador","08-2014","2401",360,20,22,4,3,2,13,0,2,0,12,13,2,16,2
"el_observador","09-2014","2290",323,28,29,5,5,7,16,1,1,1,10,20,5,26,8
"el_observador","10-2014","2491",365,18,19,1,2,4,10,0,2,1,8,10,2,15,6
"el_observador","11-2014","2309",381,22,23,7,5,6,9,0,2,5,6,17,3,18,4
"el_observador","12-2014","2178",410,16,17,6,2,3,9,0,1,0,8,10,4,11,2
"el_observador","01-2015","2127",329,21,22,8,7,9,12,1,5,7,10,17,6,19,3
"el_observador","02-2015","2182",319,16,17,4,3,4,11,0,4,3,9,10,2,14,1
"el_observador","03-2015","2504",364,19,23,5,1,3,12,1,1,1,8,11,0,15,3
"el_observador","04-2015","2292",374,18,19,6,1,2,11,0,0,2,8,6,3,11,0
"el_observador","05-2015","2147",340,10,10,1,0,1,8,0,0,1,6,7,3,10,4
"el_observador","06-2015","2289",394,13,13,2,4,5,8,0,2,0,5,9,4,12,3
"el_observador","07-2015","2179",267,20,20,4,4,5,13,0,0,1,9,17,3,19,8
"el_observador","08-2015","2099",252,14,17,0,3,3,9,2,2,1,9,7,3,11,2
"el_observador","09-2015","2171",373,27,27,3,5,9,14,3,2,1,15,18,6,24,1
"el_observador","10-2015","2234",236,18,19,1,4,7,12,0,2,0,12,16,2,17,4
